     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       600,       153,         0,   0.633,pymatching_owd_d7_r2,ab7b04c85bb304a4753dc7b5ec324e98549e26d980bd99dd270b40a41dc0a071,"{""d"":7,""decodings"":2,""p"":0.008888886257163988}",
       600,       137,         0,   0.660,pymatching_owd_d7_r2,ab7b04c85bb304a4753dc7b5ec324e98549e26d980bd99dd270b40a41dc0a071,"{""d"":7,""decodings"":2,""p"":0.008888886257163988}",
       100,        15,         0,    1.19,pymatching_owd_d9_r2,d0c0db33521f7c91d85a1773712a827ae04e8d43cca102f37491af8f6f492ee8,"{""d"":9,""decodings"":2,""p"":0.007182936262981712}",
       300,        82,         0,   0.551,pymatching_owd_d7_r2,ab7b04c85bb304a4753dc7b5ec324e98549e26d980bd99dd270b40a41dc0a071,"{""d"":7,""decodings"":2,""p"":0.008888886257163988}",
       274,        63,         0,   0.566,pymatching_owd_d7_r2,ab7b04c85bb304a4753dc7b5ec324e98549e26d980bd99dd270b40a41dc0a071,"{""d"":7,""decodings"":2,""p"":0.008888886257163988}",
       600,        93,         0,    1.39,pymatching_owd_d9_r2,d0c0db33521f7c91d85a1773712a827ae04e8d43cca102f37491af8f6f492ee8,"{""d"":9,""decodings"":2,""p"":0.007182936262981712}",
       182,        26,         0,    1.16,pymatching_owd_d9_r2,d0c0db33521f7c91d85a1773712a827ae04e8d43cca102f37491af8f6f492ee8,"{""d"":9,""decodings"":2,""p"":0.007182936262981712}",
       800,       117,         0,    1.48,pymatching_owd_d9_r2,d0c0db33521f7c91d85a1773712a827ae04e8d43cca102f37491af8f6f492ee8,"{""d"":9,""decodings"":2,""p"":0.007182936262981712}",
       200,        60,         0,    1.25,pymatching_owd_d9_r2,4e75b066824c6084b1cb948a393d28df028d43e96232c64d75984985cf5e1d4f,"{""d"":9,""decodings"":2,""p"":0.008888886257163988}",
      1000,       145,         0,    1.58,pymatching_owd_d9_r2,d0c0db33521f7c91d85a1773712a827ae04e8d43cca102f37491af8f6f492ee8,"{""d"":9,""decodings"":2,""p"":0.007182936262981712}",
       200,        51,         0,    1.20,pymatching_owd_d9_r2,4e75b066824c6084b1cb948a393d28df028d43e96232c64d75984985cf5e1d4f,"{""d"":9,""decodings"":2,""p"":0.008888886257163988}",
