     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
       200,        89,         0,    2.42,pymatching_owd_d9_r3,a1af8ac9553d7d38b307f147dbef48b3af86b302272afe86e7ede9bc895d5e88,"{""d"":9,""decodings"":3,""p"":0.01}",
       600,       187,         0,    24.9,pymatching_owd_d17_r3,5e61680f3b5b5a2340ca44184eaefcde401808afa0c1fb0feeb419cc679e3841,"{""d"":17,""decodings"":3,""p"":0.0077459666924148355}",
       600,       250,         0,    3.15,pymatching_owd_d9_r3,a1af8ac9553d7d38b307f147dbef48b3af86b302272afe86e7ede9bc895d5e88,"{""d"":9,""decodings"":3,""p"":0.01}",
       428,       145,         0,    22.6,pymatching_owd_d17_r3,5e61680f3b5b5a2340ca44184eaefcde401808afa0c1fb0feeb419cc679e3841,"{""d"":17,""decodings"":3,""p"":0.0077459666924148355}",
       100,        47,         0,    8.26,pymatching_owd_d13_r3,b3f9e8d05c5006d4b270dbd9b081d586defb0f72783bf15d3b08cc47a745e359,"{""d"":13,""decodings"":3,""p"":0.01}",
       600,       246,         0,    2.89,pymatching_owd_d9_r3,a1af8ac9553d7d38b307f147dbef48b3af86b302272afe86e7ede9bc895d5e88,"{""d"":9,""decodings"":3,""p"":0.01}",
       166,        69,         0,    2.39,pymatching_owd_d9_r3,a1af8ac9553d7d38b307f147dbef48b3af86b302272afe86e7ede9bc895d5e88,"{""d"":9,""decodings"":3,""p"":0.01}",
        19,         8,         0,    2.21,pymatching_owd_d9_r3,a1af8ac9553d7d38b307f147dbef48b3af86b302272afe86e7ede9bc895d5e88,"{""d"":9,""decodings"":3,""p"":0.01}",
       100,        46,         0,    20.0,pymatching_owd_d17_r3,48464e414ece0f48883e7249c991662880c06932274aae4e2bca62bee9043c23,"{""d"":17,""decodings"":3,""p"":0.008801117367933936}",
         1,         1,         0,    2.25,pymatching_owd_d9_r3,a1af8ac9553d7d38b307f147dbef48b3af86b302272afe86e7ede9bc895d5e88,"{""d"":9,""decodings"":3,""p"":0.01}",
       800,       233,         0,    27.0,pymatching_owd_d17_r3,5e61680f3b5b5a2340ca44184eaefcde401808afa0c1fb0feeb419cc679e3841,"{""d"":17,""decodings"":3,""p"":0.0077459666924148355}",
       200,       100,         0,    8.22,pymatching_owd_d13_r3,b3f9e8d05c5006d4b270dbd9b081d586defb0f72783bf15d3b08cc47a745e359,"{""d"":13,""decodings"":3,""p"":0.01}",
       200,        92,         0,    8.41,pymatching_owd_d13_r3,b3f9e8d05c5006d4b270dbd9b081d586defb0f72783bf15d3b08cc47a745e359,"{""d"":13,""decodings"":3,""p"":0.01}",
       100,        47,         0,    7.69,pymatching_owd_d13_r3,b3f9e8d05c5006d4b270dbd9b081d586defb0f72783bf15d3b08cc47a745e359,"{""d"":13,""decodings"":3,""p"":0.01}",
       267,       138,         0,    8.62,pymatching_owd_d13_r3,b3f9e8d05c5006d4b270dbd9b081d586defb0f72783bf15d3b08cc47a745e359,"{""d"":13,""decodings"":3,""p"":0.01}",
         5,         4,         0,    7.37,pymatching_owd_d13_r3,b3f9e8d05c5006d4b270dbd9b081d586defb0f72783bf15d3b08cc47a745e359,"{""d"":13,""decodings"":3,""p"":0.01}",
       600,       279,         0,    10.2,pymatching_owd_d13_r3,b3f9e8d05c5006d4b270dbd9b081d586defb0f72783bf15d3b08cc47a745e359,"{""d"":13,""decodings"":3,""p"":0.01}",
       200,        84,         0,    19.0,pymatching_owd_d17_r3,48464e414ece0f48883e7249c991662880c06932274aae4e2bca62bee9043c23,"{""d"":17,""decodings"":3,""p"":0.008801117367933936}",
       100,        55,         0,    18.3,pymatching_owd_d17_r3,48464e414ece0f48883e7249c991662880c06932274aae4e2bca62bee9043c23,"{""d"":17,""decodings"":3,""p"":0.008801117367933936}",
       200,        94,         0,    19.3,pymatching_owd_d17_r3,48464e414ece0f48883e7249c991662880c06932274aae4e2bca62bee9043c23,"{""d"":17,""decodings"":3,""p"":0.008801117367933936}",
       100,        46,         0,    17.2,pymatching_owd_d17_r3,0293491cb34b50e2c2b70fe1d01e21517e30197b586c7150efc8d68d52e55652,"{""d"":17,""decodings"":3,""p"":0.01}",
       415,       189,         0,    20.7,pymatching_owd_d17_r3,48464e414ece0f48883e7249c991662880c06932274aae4e2bca62bee9043c23,"{""d"":17,""decodings"":3,""p"":0.008801117367933936}",
       600,       267,         0,    22.6,pymatching_owd_d17_r3,48464e414ece0f48883e7249c991662880c06932274aae4e2bca62bee9043c23,"{""d"":17,""decodings"":3,""p"":0.008801117367933936}",
       100,        45,         0,    17.2,pymatching_owd_d17_r3,0293491cb34b50e2c2b70fe1d01e21517e30197b586c7150efc8d68d52e55652,"{""d"":17,""decodings"":3,""p"":0.01}",
       200,       100,         0,    18.9,pymatching_owd_d17_r3,0293491cb34b50e2c2b70fe1d01e21517e30197b586c7150efc8d68d52e55652,"{""d"":17,""decodings"":3,""p"":0.01}",
       200,        94,         0,    19.0,pymatching_owd_d17_r3,0293491cb34b50e2c2b70fe1d01e21517e30197b586c7150efc8d68d52e55652,"{""d"":17,""decodings"":3,""p"":0.01}",
         9,         4,         0,    16.5,pymatching_owd_d17_r3,0293491cb34b50e2c2b70fe1d01e21517e30197b586c7150efc8d68d52e55652,"{""d"":17,""decodings"":3,""p"":0.01}",
       200,        85,         0,    18.9,pymatching_owd_d17_r3,0293491cb34b50e2c2b70fe1d01e21517e30197b586c7150efc8d68d52e55652,"{""d"":17,""decodings"":3,""p"":0.01}",
       400,       196,         0,    21.4,pymatching_owd_d17_r3,0293491cb34b50e2c2b70fe1d01e21517e30197b586c7150efc8d68d52e55652,"{""d"":17,""decodings"":3,""p"":0.01}",
       268,       148,         0,    20.0,pymatching_owd_d17_r3,0293491cb34b50e2c2b70fe1d01e21517e30197b586c7150efc8d68d52e55652,"{""d"":17,""decodings"":3,""p"":0.01}",
         1,         0,         0,    16.2,pymatching_owd_d17_r3,0293491cb34b50e2c2b70fe1d01e21517e30197b586c7150efc8d68d52e55652,"{""d"":17,""decodings"":3,""p"":0.01}",
        40,        26,         0,    16.3,pymatching_owd_d17_r3,0293491cb34b50e2c2b70fe1d01e21517e30197b586c7150efc8d68d52e55652,"{""d"":17,""decodings"":3,""p"":0.01}",
